gene	079_warmM	082_warmM	086_warmM	090_warmM	097_warmM	098_warmM	080_warmF	089_warmF	091_warmF	096_warmF
ENSMUSG00000109165	3	11	9	12	7	11	7	9	13	4
ENSMUSG00000109164	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109167	0	3	1	0	0	1	1	0	0	0
ENSMUSG00000109166	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109161	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000109160	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109163	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109162	1	3	3	1	2	0	4	3	7	1
ENSMUSG00000109169	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109168	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113863	5	4	1	2	1	0	0	4	13	2
ENSMUSG00000113862	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000113861	1	0	0	0	1	0	0	0	3	0
ENSMUSG00000113860	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000113867	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113866	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113865	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113864	0	7	7	3	1	1	1	0	1	6
ENSMUSG00000113869	1	0	1	1	0	0	0	0	0	0
ENSMUSG00000113868	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103465	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103368	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000040770	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040771	265	305	177	243	177	169	188	229	224	180
ENSMUSG00000094997	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115080	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040774	2300	2358	1421	1993	1556	1257	1825	1747	2271	1654
ENSMUSG00000040775	1	2	1	0	0	2	1	0	2	0
ENSMUSG00000094993	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094992	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115089	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115088	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094999	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094998	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111708	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111709	127	61	66	61	41	52	52	134	146	59
ENSMUSG00000113271	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056174	10	13	6	5	1	3	11	9	18	8
ENSMUSG00000109252	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111700	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113276	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111702	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111703	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111704	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111707	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103361	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113274	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000103360	1	1	2	1	1	0	1	3	2	2
ENSMUSG00000109257	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000113275	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000109256	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105806	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105807	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105804	11	37	9	11	17	11	6	4	15	21
ENSMUSG00000103362	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105802	98	184	120	169	92	83	70	143	224	168
ENSMUSG00000105803	0	0	0	0	0	0	0	0	0	0
