"" "log2FoldChange" "padj" "log2FoldChange" "padj" "padj" Amb&Conserved
"ENSMUSG00000003154" 0.215233730824631 0.273159060473885 0.165162152333093 0.671360232042421 0.910803376626163 Amb&Conserved
"ENSMUSG00000003226" 0.0450739072344134 0.797617471680131 0.156758800159474 0.783729650807742 0.947751903571031 Amb&Conserved
"ENSMUSG00000003228" 0.0155948025905791 0.951762472877997 -0.591837739331156 0.299155194971872 0.27747386312395 Amb&Conserved
"ENSMUSG00000003269" 0.38091349720092 0.00218836973266629 0.0397082687458226 0.91042859468702 0.27747386312395 Amb&Conserved
"ENSMUSG00000003273" -1.11855670272541 3.8762979874266e-05 -0.964671390424371 0.127142871371064 0.871218392872269 Amb&Conserved
"ENSMUSG00000003299" -0.255658592053022 0.0307785537881728 0.436733415367891 0.570223132781376 0.269235578066352 Amb&Conserved
"ENSMUSG00000003308" -0.257364738906619 0.0293486742805939 0.14311022837107 0.721846263979486 0.19333360591877 Amb&Conserved
"ENSMUSG00000003360" 0.171871912498753 0.0674958967506141 0.198077764771434 0.149203275332987 0.980694485695018 Amb&Conserved
"ENSMUSG00000003363" -0.196831266990197 0.0838303891392306 0.0221164771511714 0.971408610127868 0.694658679061744 Amb&Conserved
"ENSMUSG00000003378" -0.015256624756218 0.95170265042933 -0.127540760701933 0.815044545483084 0.927567151041742 Amb&Conserved
"ENSMUSG00000003382" 0.13542483172907 0.271442239138291 -0.00718652542824358 0.986350570295746 0.668116265527668 Amb&Conserved
"ENSMUSG00000003420" 0.0182186526864015 0.934379132150978 -0.039602286257475 0.895082608258765 0.458169746438123 Amb&Conserved
"ENSMUSG00000003438" -0.301626517682805 0.0236308497861055 0.0636872164564741 0.90075484992078 0.564273818209356 Amb&Conserved
"ENSMUSG00000003458" -0.10780681276025 0.281383408767811 0.333354284190257 0.437947650249007 0.345009061162142 Amb&Conserved
"ENSMUSG00000003464" 0.0562879999758686 0.70708278898306 0.393968621761172 0.0563361296177101 0.340235207432361 Amb&Conserved
"ENSMUSG00000003518" -0.05983096163019 0.710520421954188 -0.0360715727716158 0.863397537903832 0.971537106986271 Amb&Conserved
"ENSMUSG00000003534" -0.475803530699995 0.0953295971913007 -0.215619986468484 0.854136028285892 0.956259444026356 Amb&Conserved
"ENSMUSG00000003559" 0.329417671296944 0.149248497675673 0.772935012402635 0.000292019954821369 0.0619567025535951 Amb&Conserved
"ENSMUSG00000003581" 0.198155830004643 0.263906323814081 0.490862068834597 0.31709089739265 0.922575772880309 Amb&Conserved
"ENSMUSG00000003604" -0.38478407150407 0.00436525814985887 0.0580949368343425 0.888135775050394 0.310761512687932 Amb&Conserved
"ENSMUSG00000003644" 0.182028915470859 0.0764811996085408 0.241808901542788 0.441905484404899 1 Amb&Conserved
"ENSMUSG00000003660" 0.0284190795057702 0.825804464262911 -0.0186162157766454 0.925393332575973 0.627529107394658 Amb&Conserved
"ENSMUSG00000003662" -0.0656131258897371 0.637395225109057 0.190386755655158 0.25293491062363 0.479835108280838 Amb&Conserved
"ENSMUSG00000003731" 0.115532421450219 0.367448748793929 -0.225120835363631 0.412529579132992 0.0640951177505816 Amb&Conserved
"ENSMUSG00000003778" 0.000953457506292427 0.996344204581485 -0.097043376565176 0.872748016629426 0.897901665313052 Amb&Conserved
"ENSMUSG00000003808" 0.136512042128586 0.390780011499639 0.0297172769574464 0.967117240133893 0.856608862020383 Amb&Conserved
"ENSMUSG00000003813" 0.127634440159555 0.367443397533368 -0.512267322301514 0.253072842955094 0.0443001598800701 Amb&Conserved
"ENSMUSG00000003848" -0.247208320385812 0.122006220457363 -0.245074491205444 0.460024670578992 0.980775284836669 Amb&Conserved
"ENSMUSG00000003929" 0.263145786749816 0.263411377821223 -0.198176046453705 0.824165463137927 0.548172040642291 Amb&Conserved
"ENSMUSG00000003948" -0.0412042057116587 0.820400691801329 -0.0195235031511254 0.921913422775852 0.819069554708868 Amb&Conserved
"ENSMUSG00000003949" 0.00416480611735219 0.98592029958498 -0.482561475998077 0.134101720583809 0.00676416908363862 Amb&Conserved
"ENSMUSG00000003955" -0.354217583526449 0.0142980710307736 -0.00879832169628169 0.977019686091018 0.304074021347781 Amb&Conserved
"ENSMUSG00000004018" 0.667018766126677 0.00102461900542862 0.404732137190502 0.278234674620358 0.816401322694665 Amb&Conserved
"ENSMUSG00000004032" -0.119671382827604 0.608740090506404 -0.13047029068989 0.839363603466367 1 Amb&Conserved
"ENSMUSG00000004040" 0.0815254850288758 0.716538459431424 -0.0362222195690963 0.895851393141252 0.129340233037354 Amb&Conserved
"ENSMUSG00000004043" 0.129118452576019 0.507801803790805 -0.480829205164743 0.20951803027978 0.0811210973701155 Amb&Conserved
"ENSMUSG00000004044" -0.0595561732629154 0.737790081082107 -0.99709630758274 0.545342245687288 0.603303184553256 Amb&Conserved
"ENSMUSG00000004069" 0.183402318258543 0.0920579374394887 0.235651973504013 0.00545105811748079 1 Amb&Conserved
"ENSMUSG00000004071" 0.0507425280075568 0.860764813902301 -0.0472372559047616 0.871243036954872 0.383741940678953 Amb&Conserved
"ENSMUSG00000004085" 0.119691779024522 0.48880180096093 -0.240906314551218 0.536719451818602 0.375842776454012 Amb&Conserved
"ENSMUSG00000004099" 0.0869461343423078 0.540705686004679 0.0748538159365417 0.84937652743607 0.964611196995034 Amb&Conserved
"ENSMUSG00000004105" 0.656798808282083 1.83987501684162e-08 0.649884300363482 0.0792986885794449 1 Amb&Conserved
"ENSMUSG00000004127" -0.461892476845268 0.0239076700257785 -0.286456364542681 0.744238138864802 0.99224859511257 Amb&Conserved
"ENSMUSG00000004207" -0.195302463525692 0.180203735428433 0.653343770490976 0.0831626920149204 0.0388316437471111 Amb&Conserved
"ENSMUSG00000004233" -0.226457692900936 0.171788345107816 -0.0921282338308707 0.83132556289169 0.945354911956424 Amb&Conserved
"ENSMUSG00000004264" -0.158345725009651 0.215600420419552 -0.111212249064729 0.136732747107443 0.99224859511257 Amb&Conserved
"ENSMUSG00000004266" -0.252879220315604 0.0309258453350294 -0.149385947315565 0.778402224222453 1 Amb&Conserved
"ENSMUSG00000004268" -0.247273119177693 0.0305070783510058 -0.0848495400348657 0.851232957575468 0.735249392565042 Amb&Conserved
"ENSMUSG00000004270" -0.344290469853698 0.0143649597705908 -0.0871587560846194 0.487363741881912 0.141123197580919 Amb&Conserved
"ENSMUSG00000004319" -0.0882453979432698 0.440537903955343 -0.171110851327888 0.351172881677268 0.552306689060351 Amb&Conserved
"ENSMUSG00000004356" 0.133644104332986 0.374948577615374 0.0284270833760237 0.927400263943605 0.64734187099575 Amb&Conserved
"ENSMUSG00000004393" -0.107094412944539 0.509504001495539 -0.387887441816674 0.448686874970019 0.50388693731322 Amb&Conserved
"ENSMUSG00000004451" -0.211242141897844 0.139413650295557 -0.0679822297998525 0.845800101096862 0.932754052600111 Amb&Conserved
"ENSMUSG00000004558" -0.162269568336255 0.244670367445931 0.0651766520763708 0.589289965147045 0.00166796478762441 Amb&Conserved
"ENSMUSG00000004561" 0.127421749633866 0.556025989236807 -0.222399204812771 0.747272798027828 0.492100594279039 Amb&Conserved
"ENSMUSG00000004565" 0.150592500987394 0.454124034374406 -0.346281216114718 0.514787160812897 0.337287974900081 Amb&Conserved
"ENSMUSG00000004567" 0.0922476024168571 0.409351382072369 0.414763371800548 0.494396500413812 0.578606145924949 Amb&Conserved
"ENSMUSG00000004568" 0.207147013116807 0.115016496321394 0.143132022021711 0.607906852225142 0.794694456237566 Amb&Conserved
"ENSMUSG00000004591" 0.19689088051971 0.100869245852585 -0.250504218284366 0.52452164220607 0.0857896321892727 Amb&Conserved
"ENSMUSG00000004626" 0.136960935382046 0.344566943194483 0.0131556247371461 0.982635002528635 0.861963485271536 Amb&Conserved
"ENSMUSG00000004633" 0.00892814305536944 0.959423111648504 -0.0360019528402696 0.956277453566127 0.745241086028082 Amb&Conserved
